Animal_Id,Animal_Type,Animal_Breed
A0911520,DOG,SCHNAUZER MIN
A0911675,DOG,PIT BULL
A0911735,DOG,CHIHUAHUA SH
A0911735,DOG,CHIHUAHUA SH
A0911809,DOG,LABRADOR RETR
A0912466,DOG,LABRADOR RETR
A0915722,DOG,AMERICAN STAFF
A0915966,DOG,CHIHUAHUA SH
A0916082,DOG,CHIHUAHUA SH
A0916337,DOG,LABRADOR RETR
A0919489,DOG,GERM SHEPHERD
A0919664,DOG,PIT BULL
A0920047,DOG,MANCHESTER TERR
A0920047,DOG,MANCHESTER TERR
A0921358,DOG,CHIHUAHUA SH
A0922028,DOG,PIT BULL
A0922498,DOG,AUST SHEPHERD
A0922929,DOG,PIT BULL
A0923894,DOG,BLACK MOUTH CUR
A0923894,DOG,BLACK MOUTH CUR
A0923894,DOG,BLACK MOUTH CUR
A0926373,DOG,GERM SHEPHERD
A0927113,DOG,GREAT PYRENEES
A0927496,DOG,MIXED BREED
A0927496,DOG,MIXED BREED
A0927496,DOG,MIXED BREED
A0927520,DOG,POINTER
A0927520,DOG,POINTER
A0927753,CAT,DOMESTIC SH
A0928373,DOG,GERM SHEPHERD
A0929674,DOG,CHIHUAHUA SH
A0930199,DOG,PIT BULL
A0930266,DOG,SHIH TZU
A0930272,DOG,AMERICAN STAFF
A0930847,DOG,CHIHUAHUA SH
A0932422,CAT,DOMESTIC MH
A0932911,DOG,AMERICAN STAFF
A0932911,DOG,AMERICAN STAFF
A0932911,DOG,AMERICAN STAFF
A0932911,DOG,AMERICAN STAFF
A0932911,DOG,AMERICAN STAFF
A0932911,DOG,AMERICAN STAFF
A0932911,DOG,AMERICAN STAFF
A0932912,DOG,AMERICAN STAFF
A0932912,DOG,AMERICAN STAFF
A0932912,DOG,AMERICAN STAFF
A0932982,DOG,PIT BULL
A0933411,DOG,PIT BULL
A0933440,DOG,PIT BULL
A0933440,DOG,PIT BULL
A0936850,DOG,CHIHUAHUA SH
A0938043,DOG,LABRADOR RETR
A0938810,DOG,PIT BULL
A0939604,DOG,GERM SHEPHERD
A0939604,DOG,GERM SHEPHERD
A0941121,DOG,LABRADOR RETR
A0941186,DOG,GERM SHEPHERD
A0943022,DOG,ROTTWEILER
A0943355,DOG,RAT TERRIER
A0943355,DOG,RAT TERRIER
A0943615,DOG,GREAT DANE
A0943620,DOG,SCHNAUZER MIN
A0945090,DOG,CHIHUAHUA SH
A0945632,DOG,GOLDEN RETR
A0945632,DOG,GOLDEN RETR
A0945632,DOG,GOLDEN RETR
A0947684,DOG,DOBERMAN PINSCH
A0948595,DOG,MANCHESTER TERR
A0948595,DOG,MANCHESTER TERR
A0948892,DOG,LABRADOR RETR
A0949069,CAT,DOMESTIC SH
A0950108,DOG,CHOW CHOW
A0951376,DOG,GREAT DANE
A0951376,DOG,GREAT DANE
A0951958,DOG,GOLDEN RETR
A0952716,DOG,LABRADOR RETR
A0953210,DOG,SHIH TZU
A0953923,DOG,ROTTWEILER
A0954670,DOG,LABRADOR RETR
A0955662,DOG,MIXED BREED
A0957113,DOG,GERM SHEPHERD
A0958104,DOG,PIT BULL
A0959863,DOG,BOXER
A0959913,DOG,ROTTWEILER
A0960163,DOG,PIT BULL
A0960943,DOG,GERM SHEPHERD
A0961716,DOG,GERM SHEPHERD
A0961923,DOG,PIT BULL
A0963029,DOG,CHIHUAHUA SH
A0963079,DOG,GERM SHEPHERD
A0963460,DOG,PIT BULL
A0964366,DOG,LABRADOR RETR
A0965325,DOG,CAIRN TERRIER
A0965394,DOG,PIT BULL
A0965394,DOG,PIT BULL
A0965394,DOG,PIT BULL
A0966345,DOG,COLLIE SMOOTH
A0966432,DOG,PIT BULL
A0966432,DOG,PIT BULL
A0967122,DOG,AM PIT BULL TER
A0968876,DOG,LABRADOR RETR
A0968876,DOG,LABRADOR RETR
A0968877,DOG,LABRADOR RETR
A0968877,DOG,LABRADOR RETR
