Animal_Id,Animal_Type,Animal_Breed
A1136053,DOG,AM PIT BULL TER
A1136054,DOG,CATAHOULA
A1136055,DOG,CATAHOULA
A1136055,DOG,CATAHOULA
A1136055,DOG,CATAHOULA
A1136056,DOG,CATAHOULA
A1136057,CAT,DOMESTIC SH
A1136058,DOG,AMER BULLDOG
A1136059,DOG,FRENCH BULLDOG
A1136060,DOG,GOLDEN RETR
A1136061,DOG,AUST SHEPHERD
A1136062,DOG,PIT BULL
A1136063,DOG,PIT BULL
A1136064,DOG,AUST SHEPHERD
A1136065,DOG,ROTTWEILER
A1136067,DOG,BERNESE MTN DOG
A1136068,DOG,ROTTWEILER
A1136071,DOG,PIT BULL
A1136073,DOG,YORKSHIRE TERR
A1136074,DOG,YORKSHIRE TERR
A1136078,DOG,PIT BULL
A1136079,DOG,CHIHUAHUA SH
A1136083,DOG,WELSH CORGI CAR
A1136083,DOG,WELSH CORGI CAR
A1136087,CAT,DOMESTIC SH
A1136088,DOG,PIT BULL
A1136089,DOG,AMER BULLDOG
A1136090,DOG,AM PIT BULL TER
A1136091,CAT,DOMESTIC MH
A1136092,DOG,BEAGLE
A1136093,CAT,DOMESTIC SH
A1136093,CAT,DOMESTIC SH
A1136094,DOG,LABRADOR RETR
A1136095,DOG,GERM SHEPHERD
A1136096,DOG,GERM SHEPHERD
A1136097,DOG,LABRADOR RETR
A1136099,DOG,PUG
A1136100,CAT,AMER SH
A1136101,CAT,AMER SH
A1136102,DOG,LABRADOR RETR
A1136103,DOG,AMER BULLDOG
A1136104,DOG,CHIHUAHUA SH
A1136104,DOG,CHIHUAHUA SH
A1136105,DOG,PIT BULL
A1136107,DOG,LABRADOR RETR
A1136108,DOG,AUST SHEPHERD
A1136109,DOG,STAFFORDSHIRE
A1136110,DOG,ALASKAN HUSKY
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136111,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136112,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136113,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136114,CAT,DOMESTIC SH
A1136115,CAT,DOMESTIC SH
A1136115,CAT,DOMESTIC SH
A1136115,CAT,DOMESTIC SH
A1136116,DOG,ALASKAN HUSKY
A1136116,DOG,ALASKAN HUSKY
A1136117,DOG,ALASKAN HUSKY
A1136118,DOG,AM PIT BULL TER
A1136119,DOG,GERM SHEPHERD
A1136120,DOG,GERM SHEPHERD
A1136121,DOG,SHIH TZU
A1136122,CAT,AMER SH
A1136123,CAT,DOMESTIC SH
A1136124,DOG,ANATOL SHEPHERD
A1136125,DOG,GERM SHEPHERD
A1136127,DOG,FRENCH BULLDOG
A1136128,DOG,PIT BULL
A1136130,CAT,AMER SH
A1136131,DOG,PIT BULL
A1136132,DOG,ALASKAN HUSKY
A1136132,DOG,ALASKAN HUSKY
A1136133,DOG,PIT BULL
A1136135,DOG,CHOW CHOW
A1136137,DOG,AM PIT BULL TER
A1136138,DOG,AM PIT BULL TER
A1136139,DOG,PIT BULL
A1136140,DOG,LABRADOR RETR
A1136141,WILDLIFE,SKUNK
A1136142,DOG,PIT BULL
A1136144,DOG,POODLE STND
A1136145,DOG,AM PIT BULL TER
A1136146,DOG,PIT BULL
A1136147,DOG,PIT BULL
A1136149,DOG,GERM SHEPHERD
A1136151,DOG,CHIHUAHUA SH
A1136152,DOG,JACK RUSS TERR
A1136153,DOG,GERM SHEPHERD
A1136154,DOG,BLOODHOUND
A1136155,DOG,AM PIT BULL TER
A1136157,CAT,DOMESTIC SH
A1136159,CAT,DOMESTIC SH
A1136162,CAT,DOMESTIC SH
A1136163,DOG,CHIHUAHUA SH
A1136164,CAT,DOMESTIC SH
A1136166,DOG,GERM SHEPHERD
A1136167,DOG,PIT BULL
A1136173,DOG,GERM SHEPHERD
A1136176,DOG,PIT BULL
A1136177,DOG,ROTTWEILER
A1136179,DOG,ROTTWEILER
A1136180,DOG,LABRADOR RETR
A1136180,DOG,LABRADOR RETR
A1136180,DOG,LABRADOR RETR
A1136181,DOG,MIXED BREED
A1136181,DOG,MIXED BREED
A1136182,DOG,GERM SHEPHERD
A1136183,DOG,GOLDEN RETR
A1136183,DOG,GOLDEN RETR
A1136184,DOG,AUST SHEPHERD
A1136185,DOG,ROTTWEILER
A1136186,BIRD,CHICKEN
A1136187,DOG,ANATOL SHEPHERD
A1136187,DOG,ANATOL SHEPHERD
A1136188,DOG,GREAT PYRENEES
A1136189,DOG,AMER WATER SPAN
A1136190,DOG,CHIHUAHUA SH
A1136191,CAT,DOMESTIC SH
A1136191,CAT,DOMESTIC SH
A1136191,CAT,DOMESTIC SH
A1136192,DOG,RAT TERRIER
A1136193,DOG,RAT TERRIER
A1136195,DOG,PIT BULL
A1136196,DOG,BEAGLE
A1136197,DOG,DACHSHUND
A1136200,DOG,BORDER COLLIE
A1136201,DOG,CHIHUAHUA SH
A1136204,DOG,DACHSHUND
A1136205,CAT,AMER SH
A1136206,CAT,AMER SH
A1136207,CAT,DOMESTIC SH
A1136207,CAT,DOMESTIC SH
A1136208,CAT,DOMESTIC SH
A1136208,CAT,DOMESTIC SH
A1136209,DOG,GERM SHEPHERD
A1136210,DOG,PIT BULL
A1136211,DOG,ENG BULLDOG
A1136212,DOG,PIT BULL
A1136216,DOG,YORKSHIRE TERR
A1136217,DOG,PIT BULL
A1136218,DOG,ALASKAN HUSKY
A1136219,DOG,CHIHUAHUA SH
A1136223,DOG,PIT BULL
A1136224,BIRD,PARAKEET
A1136225,DOG,DACHSHUND
A1136226,BIRD,DUCK
A1136227,DOG,CANE CORSO
A1136230,DOG,PARSON RUSS TER
A1136232,DOG,CHIHUAHUA SH
A1136233,DOG,GERM SHEPHERD
A1136234,CAT,AMER SH
A1136236,DOG,PIT BULL
A1136236,DOG,PIT BULL
A1136236,DOG,PIT BULL
A1136237,DOG,PIT BULL
A1136238,CAT,DOMESTIC SH
A1136239,CAT,DOMESTIC SH
A1136241,DOG,GERM SHEPHERD
A1136242,DOG,GERM SHEPHERD
A1136243,DOG,SHIH TZU
A1136244,DOG,CHIHUAHUA SH
A1136244,DOG,CHIHUAHUA SH
A1136244,DOG,CHIHUAHUA SH
A1136244,DOG,CHIHUAHUA SH
A1136244,DOG,CHIHUAHUA SH
A1136244,DOG,CHIHUAHUA SH
A1136245,DOG,AM PIT BULL TER
A1136247,DOG,PIT BULL
A1136248,DOG,LABRADOR RETR
A1136249,DOG,LABRADOR RETR
A1136250,DOG,LABRADOR RETR
A1136251,CAT,MAINE COON
A1136252,DOG,GERM SHEPHERD
A1136253,DOG,AM PIT BULL TER
A1136253,DOG,AM PIT BULL TER
A1136254,DOG,SIBERIAN HUSKY
A1136255,DOG,GERM SHEPHERD
A1136256,DOG,AUST KELPIE
A1136257,DOG,PIT BULL
A1136258,DOG,GREAT PYRENEES
A1136259,DOG,CHIHUAHUA SH
A1136262,CAT,DOMESTIC SH
A1136263,CAT,DOMESTIC SH
A1136264,DOG,BOXER
A1136265,DOG,PIT BULL
A1136265,DOG,PIT BULL
A1136266,DOG,GERM SHEPHERD
A1136267,DOG,BASSET HOUND
A1136268,DOG,POODLE MIN
A1136269,DOG,LABRADOR RETR
A1136269,DOG,LABRADOR RETR
A1136269,DOG,LABRADOR RETR
A1136270,DOG,BULL TERRIER
A1136270,DOG,BULL TERRIER
A1136271,WILDLIFE,RABBIT SH
A1136273,DOG,LABRADOR RETR
A1136274,DOG,CHIHUAHUA SH
A1136276,DOG,GERM SHEPHERD
A1136277,DOG,AMER BULLDOG
A1136278,DOG,GERM SHEPHERD
A1136279,DOG,PIT BULL
A1136280,DOG,PIT BULL
A1136281,DOG,POMERANIAN
A1136281,DOG,POMERANIAN
A1136282,DOG,GREYHOUND
A1136284,DOG,GERM SHEPHERD
A1136285,CAT,DOMESTIC SH
A1136286,DOG,GERM SHEPHERD
A1136287,DOG,BORDER TERRIER
A1136289,DOG,CHIHUAHUA SH
A1136292,DOG,GERM SHEPHERD
A1136293,DOG,CHIHUAHUA SH
A1136294,DOG,PIT BULL
A1136294,DOG,PIT BULL
A1136294,DOG,PIT BULL
A1136294,DOG,PIT BULL
A1136298,CAT,DOMESTIC MH
A1136299,DOG,GREAT PYRENEES
A1136300,BIRD,CHICKEN
A1136301,DOG,PIT BULL
A1136302,CAT,DOMESTIC SH
A1136303,WILDLIFE,MOUSE
A1136304,WILDLIFE,MOUSE
A1136305,WILDLIFE,MOUSE
A1136306,WILDLIFE,MOUSE
A1136307,WILDLIFE,MOUSE
A1136308,WILDLIFE,MOUSE
A1136309,DOG,PIT BULL
A1136309,DOG,PIT BULL
A1136309,DOG,PIT BULL
A1136310,WILDLIFE,MOUSE
A1136311,DOG,GERM SHEPHERD
A1136312,DOG,CAIRN TERRIER
A1136313,DOG,PIT BULL
A1136315,CAT,AMER SH
A1136316,CAT,AMER SH
A1136318,CAT,AMER SH
A1136319,CAT,AMER SH
A1136320,DOG,LABRADOR RETR
A1136321,DOG,PIT BULL
A1136321,DOG,PIT BULL
A1136326,DOG,PIT BULL
A1136327,DOG,PIT BULL
A1136328,DOG,GERM SHEPHERD
A1136329,DOG,GERM SHEPHERD
A1136329,DOG,GERM SHEPHERD
A1136329,DOG,GERM SHEPHERD
A1136331,DOG,GERM SHEPHERD
A1136331,DOG,GERM SHEPHERD
A1136332,DOG,MIN PINSCHER
A1136333,DOG,IRISH TERRIER
A1136334,DOG,LABRADOR RETR
A1136335,DOG,GERM SHEPHERD
A1136336,DOG,GERM SHEPHERD
A1136336,DOG,GERM SHEPHERD
A1136337,DOG,ALASKAN HUSKY
A1136338,DOG,ALASKAN HUSKY
A1136339,CAT,DOMESTIC SH
A1136340,DOG,PIT BULL
A1136341,DOG,CHIHUAHUA SH
A1136342,DOG,GERM SHEPHERD
A1136343,DOG,GERM SHEPHERD
A1136345,DOG,AMER BULLDOG
A1136346,CAT,DOMESTIC SH
A1136346,CAT,DOMESTIC SH
A1136347,CAT,DOMESTIC SH
A1136347,CAT,DOMESTIC SH
A1136348,DOG,AM PIT BULL TER
A1136350,DOG,ANATOL SHEPHERD
A1136351,CAT,DOMESTIC SH
A1136353,DOG,PIT BULL
A1136354,DOG,GERM SHEPHERD
A1136355,DOG,BOXER
A1136356,DOG,DACHSHUND
A1136357,DOG,GERM SHEPHERD
A1136358,CAT,DOMESTIC SH
A1136365,DOG,LABRADOR RETR
A1136366,CAT,DOMESTIC SH
A1136366,CAT,DOMESTIC SH
A1136366,CAT,DOMESTIC SH
A1136366,CAT,DOMESTIC SH
A1136367,DOG,MALTESE
A1136367,DOG,MALTESE
A1136368,DOG,LABRADOR RETR
A1136369,DOG,LABRADOR RETR
A1136369,DOG,LABRADOR RETR
A1136369,DOG,LABRADOR RETR
A1136376,CAT,AMER SH
A1136377,CAT,MAINE COON
A1136378,CAT,DOMESTIC SH
A1136380,DOG,PIT BULL
A1136381,DOG,AM PIT BULL TER
A1136382,DOG,LABRADOR RETR
A1136382,DOG,LABRADOR RETR
A1136383,DOG,FRENCH BULLDOG
A1136386,DOG,BEAGLE
A1136387,DOG,PIT BULL
A1136388,DOG,LABRADOR RETR
A1136389,DOG,LABRADOR RETR
A1136390,DOG,PIT BULL
A1136391,DOG,NS DUCK TOLLING
A1136391,DOG,NS DUCK TOLLING
A1136391,DOG,NS DUCK TOLLING
A1136392,CAT,DOMESTIC SH
A1136393,DOG,AMERICAN STAFF
A1136394,DOG,LABRADOR RETR
A1136395,DOG,SHIBA INU
A1136396,DOG,PIT BULL
A1136397,DOG,GERM SHEPHERD
A1136398,DOG,BOSTON TERRIER
A1136399,DOG,PIT BULL
A1136400,CAT,DOMESTIC SH
A1136402,DOG,GERM SHEPHERD
A1136404,CAT,DOMESTIC SH
A1136405,DOG,GERM SHEPHERD
A1136406,DOG,LABRADOR RETR
A1136407,DOG,GERM SHEPHERD
A1136408,DOG,MIN PINSCHER
A1136409,DOG,PIT BULL
A1136410,DOG,ALASKAN HUSKY
A1136411,DOG,ALASKAN HUSKY
A1136415,DOG,GERM SHEPHERD
A1136415,DOG,GERM SHEPHERD
A1136416,DOG,MIN PINSCHER
A1136417,DOG,CHIHUAHUA SH
A1136418,DOG,ALASKAN HUSKY
A1136419,DOG,DOBERMAN PINSCH
A1136420,DOG,GERM SHEPHERD
A1136420,DOG,GERM SHEPHERD
A1136421,DOG,GERM SHEPHERD
A1136422,DOG,PIT BULL
A1136423,DOG,PIT BULL
A1136423,DOG,PIT BULL
A1136424,DOG,PIT BULL
A1136424,DOG,PIT BULL
A1136425,DOG,GERM SHEPHERD
A1136426,DOG,ALASKAN HUSKY
A1136427,DOG,ALASKAN HUSKY
A1136428,DOG,AM PIT BULL TER
A1136429,DOG,AM PIT BULL TER
A1136429,DOG,AM PIT BULL TER
A1136429,DOG,AM PIT BULL TER
A1136431,DOG,ALASKAN HUSKY
A1136431,DOG,ALASKAN HUSKY
A1136431,DOG,ALASKAN HUSKY
A1136431,DOG,ALASKAN HUSKY
A1136431,DOG,ALASKAN HUSKY
A1136431,DOG,ALASKAN HUSKY
A1136431,DOG,ALASKAN HUSKY
A1136432,DOG,PIT BULL
A1136432,DOG,PIT BULL
A1136433,DOG,ENG BULLDOG
A1136434,DOG,GERM SHEPHERD
A1136435,WILDLIFE,OPOSSUM
A1136436,DOG,ALASKAN HUSKY
A1136438,CAT,DOMESTIC SH
A1136439,CAT,NORWGN FOREST
A1136440,DOG,YORKSHIRE TERR
A1136441,CAT,DOMESTIC SH
A1136443,DOG,AM PIT BULL TER
A1136444,DOG,PIT BULL
A1136445,DOG,AMERICAN STAFF
A1136446,DOG,CHIHUAHUA LH
A1136447,DOG,AMERICAN STAFF
A1136449,CAT,DOMESTIC SH
A1136450,DOG,ROTTWEILER
A1136451,DOG,ENG BULLDOG
A1136452,DOG,SHIH TZU
A1136453,DOG,GERM SHEPHERD
A1136454,CAT,DOMESTIC SH
A1136455,DOG,CATAHOULA
A1136456,CAT,DOMESTIC SH
A1136457,DOG,TIBETAN TERR
A1136458,CAT,DOMESTIC SH
A1136459,DOG,PIT BULL
A1136460,DOG,PIT BULL
A1136461,DOG,PIT BULL
A1136462,DOG,PIT BULL
A1136463,DOG,PIT BULL
A1136464,DOG,PIT BULL
A1136465,DOG,PIT BULL
A1136466,DOG,CHIHUAHUA SH
A1136468,DOG,CHIHUAHUA SH
A1136469,DOG,POMERANIAN
A1136470,DOG,SCHNAUZER MIN
A1136471,DOG,SCHNAUZER MIN
A1136472,DOG,PIT BULL
A1136473,CAT,DOMESTIC MH
A1136474,WILDLIFE,GUINEA PIG
A1136474,WILDLIFE,GUINEA PIG
A1136474,WILDLIFE,GUINEA PIG
A1136475,WILDLIFE,GUINEA PIG
A1136476,WILDLIFE,GUINEA PIG
A1136476,WILDLIFE,GUINEA PIG
A1136476,WILDLIFE,GUINEA PIG
A1136477,WILDLIFE,GUINEA PIG
A1136477,WILDLIFE,GUINEA PIG
A1136477,WILDLIFE,GUINEA PIG
A1136479,WILDLIFE,GUINEA PIG
A1136480,DOG,GERM SHEPHERD
A1136480,DOG,GERM SHEPHERD
A1136481,DOG,ROTTWEILER
A1136483,DOG,GERM SHEPHERD
A1136483,DOG,GERM SHEPHERD
A1136484,DOG,GERM SHEPHERD
A1136485,CAT,DOMESTIC MH
A1136486,DOG,AM PIT BULL TER
A1136487,CAT,DOMESTIC SH
A1136488,DOG,LABRADOR RETR
A1136489,CAT,DOMESTIC SH
A1136490,DOG,BEAGLE
A1136491,DOG,GERM SHEPHERD
A1136492,DOG,GERM SHEPHERD
A1136493,DOG,GERM SHEPHERD
A1136494,DOG,GERM SHEPHERD
A1136495,DOG,GERM SHEPHERD
A1136496,CAT,NORWGN FOREST
A1136497,DOG,SIBERIAN HUSKY
A1136498,DOG,GERM SHEPHERD
A1136499,DOG,LABRADOR RETR
A1136500,WILDLIFE,BAT
A1136502,CAT,DOMESTIC SH
A1136504,WILDLIFE,OPOSSUM
A1136505,DOG,LABRADOR RETR
A1136506,DOG,POODLE STND
A1136511,DOG,GERM SHEPHERD
A1136511,DOG,GERM SHEPHERD
A1136511,DOG,GERM SHEPHERD
A1136511,DOG,GERM SHEPHERD
A1136511,DOG,GERM SHEPHERD
A1136511,DOG,GERM SHEPHERD
A1136512,DOG,STAFFORDSHIRE
A1136512,DOG,STAFFORDSHIRE
A1136513,WILDLIFE,OPOSSUM
A1136515,DOG,DACHSHUND
A1136519,DOG,PIT BULL
A1136523,DOG,AKITA
A1136523,DOG,AKITA
A1136523,DOG,AKITA
A1136523,DOG,AKITA
A1136525,DOG,PIT BULL
A1136526,DOG,LABRADOR RETR
A1136527,DOG,AUST SHEPHERD
A1136528,DOG,LABRADOR RETR
A1136529,DOG,SHIH TZU
A1136530,DOG,LABRADOR RETR
A1136531,DOG,LABRADOR RETR
A1136532,CAT,SIAMESE
A1136533,DOG,SHIH TZU
A1136534,DOG,CHIHUAHUA LH
A1136535,DOG,YORKSHIRE TERR
A1136538,DOG,DOBERMAN PINSCH
A1136541,DOG,CHIHUAHUA SH
A1136542,DOG,ALASKAN HUSKY
A1136543,DOG,LABRADOR RETR
A1136544,DOG,MIXED BREED
A1136544,DOG,MIXED BREED
A1136544,DOG,MIXED BREED
A1136544,DOG,MIXED BREED
A1136544,DOG,MIXED BREED
A1136544,DOG,MIXED BREED
A1136545,WILDLIFE,BAT
A1136546,DOG,ENG BULLDOG
A1136547,DOG,PIT BULL
A1136550,DOG,GERM SHEPHERD
A1136552,DOG,LABRADOR RETR
A1136552,DOG,LABRADOR RETR
A1136552,DOG,LABRADOR RETR
A1136552,DOG,LABRADOR RETR
A1136554,DOG,LABRADOR RETR
A1136555,CAT,AMER SH
A1136556,DOG,LABRADOR RETR
A1136557,DOG,AUST CATTLE DOG
A1136558,DOG,LABRADOR RETR
A1136559,DOG,CHOW CHOW
A1136559,DOG,CHOW CHOW
A1136563,DOG,BORDER COLLIE
A1136565,DOG,LABRADOR RETR
A1136566,DOG,DACHSHUND LH
A1136570,BIRD,DUCK
A1136572,DOG,GREAT PYRENEES
A1136572,DOG,GREAT PYRENEES
A1136572,DOG,GREAT PYRENEES
A1136574,DOG,ENG BULLDOG
A1136575,DOG,SHIH TZU
A1136575,DOG,SHIH TZU
A1136577,DOG,YORKSHIRE TERR
A1136578,DOG,POODLE STND
A1136583,DOG,PIT BULL
A1136583,DOG,PIT BULL
A1136584,DOG,SHIH TZU
A1136585,DOG,LABRADOR RETR
A1136586,DOG,LABRADOR RETR
A1136587,DOG,LABRADOR RETR
A1136589,CAT,DOMESTIC SH
A1136593,DOG,AM PIT BULL TER
A1136600,DOG,LABRADOR RETR
A1136602,DOG,PIT BULL
A1136604,DOG,GERM SHEPHERD
A1136605,DOG,WELSH CORGI CAR
A1136606,DOG,GERM SHEPHERD
A1136607,DOG,ANATOL SHEPHERD
A1136611,DOG,GERM SHEPHERD
A1136614,DOG,CATAHOULA
A1136616,DOG,MIN PINSCHER
A1136617,DOG,LABRADOR RETR
A1136618,DOG,AM PIT BULL TER
A1136619,DOG,SILKY TERRIER
A1136620,DOG,TOY FOX TERRIER
A1136621,DOG,WEIMARANER
A1136622,DOG,GERM SHEPHERD
A1136626,DOG,CHIHUAHUA SH
A1136627,CAT,DOMESTIC SH
A1136628,DOG,PIT BULL
A1136629,CAT,DOMESTIC SH
A1136630,CAT,DOMESTIC MH
A1136631,DOG,PIT BULL
A1136632,DOG,SHIH TZU
A1136633,DOG,ALASKAN HUSKY
A1136634,DOG,GERM SHEPHERD
A1136635,DOG,GREAT PYRENEES
A1136637,DOG,GERM SHEPHERD
A1136638,DOG,SIBERIAN HUSKY
A1136639,DOG,ROTTWEILER
A1136642,CAT,DOMESTIC SH
A1136643,DOG,MIXED BREED
A1136644,DOG,AMER BULLDOG
A1136647,DOG,PUG
A1136648,DOG,DOBERMAN PINSCH
A1136652,CAT,DOMESTIC SH
A1136652,CAT,DOMESTIC SH
A1136652,CAT,DOMESTIC SH
A1136653,CAT,DOMESTIC SH
A1136653,CAT,DOMESTIC SH
A1136653,CAT,DOMESTIC SH
A1136653,CAT,DOMESTIC SH
A1136654,CAT,DOMESTIC SH
A1136654,CAT,DOMESTIC SH
A1136654,CAT,DOMESTIC SH
A1136657,CAT,DOMESTIC SH
A1136661,DOG,ALASKAN HUSKY
A1136661,DOG,ALASKAN HUSKY
A1136662,DOG,PIT BULL
A1136663,DOG,POODLE STND
A1136664,DOG,GERM SHEPHERD
A1136665,DOG,BULLDOG
A1136667,DOG,LABRADOR RETR
A1136667,DOG,LABRADOR RETR
A1136671,DOG,PIT BULL
A1136672,DOG,IBIZAN HOUND
A1136672,DOG,IBIZAN HOUND
A1136673,WILDLIFE,OPOSSUM
A1136674,DOG,PIT BULL
A1136675,DOG,LABRADOR RETR
A1136678,DOG,ALASKAN HUSKY
A1136678,DOG,ALASKAN HUSKY
A1136679,DOG,AM PIT BULL TER
A1136682,DOG,AUST CATTLE DOG
A1136684,DOG,BOSTON TERRIER
A1136686,DOG,PIT BULL
A1136687,CAT,DOMESTIC SH
A1136688,DOG,ALASKAN HUSKY
A1136689,DOG,PAPILLON
A1136691,DOG,GREAT PYRENEES
A1136692,DOG,GERM SHEPHERD
A1136693,DOG,AM PIT BULL TER
A1136694,WILDLIFE,OPOSSUM
A1136695,DOG,BLACK MOUTH CUR
A1136695,DOG,BLACK MOUTH CUR
A1136697,CAT,DOMESTIC SH
A1136698,DOG,JACK RUSS TERR
A1136699,DOG,BORDER COLLIE
A1136701,CAT,DOMESTIC MH
A1136701,CAT,DOMESTIC MH
A1136701,CAT,DOMESTIC MH
A1136702,DOG,GERM SHEPHERD
A1136702,DOG,GERM SHEPHERD
A1136703,DOG,DOGUE DE BORDX
A1136704,CAT,DOMESTIC MH
A1136704,CAT,DOMESTIC MH
A1136704,CAT,DOMESTIC MH
A1136705,DOG,ROTTWEILER
A1136706,DOG,JACK RUSS TERR
A1136707,LIVESTOCK,POTBELLY PIG
A1136708,DOG,AUST SHEPHERD
A1136709,DOG,BELG MALINOIS
A1136710,DOG,AM PIT BULL TER
A1136711,DOG,GERM SHEPHERD
A1136712,DOG,GERM SHEPHERD
A1136714,DOG,PIT BULL
A1136715,DOG,AUST SHEPHERD
A1136716,DOG,LABRADOR RETR
A1136717,DOG,GREAT PYRENEES
A1136719,CAT,DOMESTIC SH
A1136721,DOG,BULL TERRIER
A1136722,DOG,PIT BULL
A1136722,DOG,PIT BULL
A1136726,DOG,PUG
A1136728,DOG,LABRADOR RETR
A1136729,CAT,DOMESTIC SH
A1136730,BIRD,OWL
A1136731,DOG,GERM SHEPHERD
A1136732,DOG,LABRADOR RETR
A1136735,DOG,PIT BULL
A1136737,DOG,AMERICAN STAFF
A1136737,DOG,AMERICAN STAFF
A1136739,DOG,GERM SHEPHERD
A1136740,DOG,POODLE STND
A1136741,DOG,POODLE STND
A1136742,DOG,LABRADOR RETR
A1136744,DOG,GOLDEN RETR
A1136745,DOG,BELG TERVUREN
A1136746,DOG,BORDER TERRIER
A1136747,DOG,GERM SHEPHERD
A1136748,DOG,GERM SHEPHERD
A1136751,CAT,DOMESTIC SH
A1136753,DOG,PIT BULL
A1136755,WILDLIFE,GUINEA PIG
A1136756,WILDLIFE,GUINEA PIG
A1136757,WILDLIFE,GUINEA PIG
A1136758,WILDLIFE,GUINEA PIG
A1136759,WILDLIFE,GUINEA PIG
A1136761,WILDLIFE,GUINEA PIG
A1136762,WILDLIFE,GUINEA PIG
A1136763,DOG,AM PIT BULL TER
A1136764,DOG,AM PIT BULL TER
A1136765,DOG,SIBERIAN HUSKY
A1136766,DOG,CHIHUAHUA SH
A1136766,DOG,CHIHUAHUA SH
A1136770,DOG,ALASKAN HUSKY
A1136771,DOG,MALTESE
A1136772,CAT,SIAMESE
A1136773,DOG,SHETLD SHEEPDOG
A1136774,DOG,GREAT PYRENEES
A1136775,DOG,SHETLD SHEEPDOG
A1136777,DOG,CHIHUAHUA SH
A1136778,WILDLIFE,RABBIT SH
A1136779,DOG,LABRADOR RETR
A1136780,DOG,LABRADOR RETR
A1136781,CAT,DOMESTIC SH
A1136782,DOG,PIT BULL
A1136783,DOG,GERM SHEPHERD
A1136784,DOG,PIT BULL
A1136785,DOG,AUST CATTLE DOG
A1136786,DOG,GERM SHEPHERD
A1136788,DOG,CANE CORSO
A1136789,DOG,COCKER SPAN
A1136790,DOG,COCKER SPAN
A1136791,DOG,COCKER SPAN
A1136793,CAT,DOMESTIC SH
A1136794,DOG,LABRADOR RETR
A1136794,DOG,LABRADOR RETR
A1136795,DOG,GERM SHEPHERD
A1136796,DOG,AMERICAN STAFF
A1136797,CAT,DOMESTIC SH
A1136798,CAT,DOMESTIC SH
A1136799,CAT,DOMESTIC SH
A1136800,CAT,DOMESTIC SH
A1136801,DOG,AUST CATTLE DOG
A1136806,DOG,BEAGLE
A1136807,DOG,JACK RUSS TERR
A1136808,DOG,GERM SHEPHERD
A1136809,DOG,LABRADOR RETR
A1136810,DOG,LABRADOR RETR
A1136811,CAT,DOMESTIC SH
A1136812,DOG,CATAHOULA
A1136813,DOG,BORDER COLLIE
A1136814,DOG,AM PIT BULL TER
A1136815,DOG,SIBERIAN HUSKY
A1136816,DOG,ALASKAN HUSKY
A1136818,DOG,LABRADOR RETR
A1136819,DOG,AUST CATTLE DOG
A1136820,DOG,PIT BULL
A1136821,DOG,SIBERIAN HUSKY
A1136822,DOG,LABRADOR RETR
A1136823,DOG,SIBERIAN HUSKY
A1136824,DOG,BORDER TERRIER
A1136833,DOG,GERM SHEPHERD
A1136834,CAT,DOMESTIC SH
A1136835,CAT,AMER SH
A1136836,DOG,PIT BULL
A1136839,DOG,POODLE STND
A1136840,WILDLIFE,GUINEA PIG
A1136841,WILDLIFE,GUINEA PIG
A1136842,WILDLIFE,GUINEA PIG
A1136843,WILDLIFE,GUINEA PIG
A1136844,WILDLIFE,GUINEA PIG
A1136845,DOG,PIT BULL
A1136846,DOG,MIN PINSCHER
A1136848,DOG,LABRADOR RETR
A1136849,DOG,AM PIT BULL TER
A1136852,DOG,BORDER COLLIE
A1136853,DOG,CHIHUAHUA SH
A1136854,DOG,PIT BULL
A1136855,DOG,LABRADOR RETR
A1136856,DOG,GERM SHEPHERD
A1136857,CAT,DOMESTIC SH
A1136857,CAT,DOMESTIC SH
