Animal_Id,Kennel_Number,Kennel_Status,Source_Id
A0101596,DC 26,AVAILABLE,P0976568
A0113667,INJD 015,UNAVAILABLE,P0979352
A0517410,LFC 061,AVAILABLE,P0141188
A0524957,QC 03,IMPOUNDED,P9991780
A0525959,LFD 074,IMPOUNDED,P0996613
A0526872,186037-03,IMPOUNDED,P0993879
A0536200,PCD 13,AVAILABLE,P0531768
A0548537,LFD 095,UNAVAILABLE,P0534691
A0551248,LFD 025,UNAVAILABLE,P0536467
A0559624,CC 14,UNAVAILABLE,P9998471
A0561004,FREEZER,UNAVAILABLE,P0539235
A0577252,LFD 025,IMPOUNDED,P0997027
A0597189,LFD 082,UNAVAILABLE,P1006335
A0601296,LFD 142,UNAVAILABLE,P0569218
A0605617,LAB 01,UNAVAILABLE,P0560152
A0608900,LFD 054,UNAVAILABLE,P0713411
A0614326,FREEZER,IMPOUNDED,P0561615
A0623088,LFD 104,AVAILABLE,P0565266
A0623589,LFSD 10,IMPOUNDED,P0981995
A0629143,INJD 016,IMPOUNDED,P0975347
A0631535,VT 08,UNAVAILABLE,P0569432
A0632169,BAY 13,IMPOUNDED,P0548655
A0632406,LFD 028,IMPOUNDED,P1009569
A0644135,FREEZER,UNAVAILABLE,P0983894
A0650172,176001-01,IMPOUNDED,P0578740
A0655660,LFD 082,IMPOUNDED,P0577958
A0656103,LAB 03,LAB,P1006695
A0656113,LAB 04,LAB,P1006695
A0657362,FREEZER,UNAVAILABLE,P1005047
A0668790,AD 101,AVAILABLE,P0584912
A0673908,LFD 106,IMPOUNDED,P0981720
A0681623,PCD 27,AVAILABLE,P0531768
A0692317,FREEZER,UNAVAILABLE,P0593691
A0695338,FREEZER,IMPOUNDED,P0594934
A0703155,FREEZER,IMPOUNDED,P0598834
A0703184,VIP09,AVAILABLE,P9991704
A0703517,VT 12,IMPOUNDED,P0599002
A0705369,FREEZER,UNAVAILABLE,P0556174
A0711486,FOSTER,PENDING,P0943321
A0711486,LFSD 14,AVAILABLE,P0746568
A0712281,FREEZER,UNAVAILABLE,P0602723
A0715875,PCD 01,LAB,P0902552
A0717641,DC 06,EU RISK,P0842180
A0722893,PCD 10,UNAVAILABLE,P0981063
A0728725,LFD 055,EU RISK,P9991780
A0734514,AD 074,UNAVAILABLE,P0613134
A0737728,INJD 007,UNAVAILABLE,P0614992
A0737987,146005-01,IMPOUNDED,P9998461
A0742095,LFC 078,AVAILABLE,P0621359
A0742314,INJD 007,UNAVAILABLE,P0955520
A0742935,196007-01,IMPOUNDED,P9991723
A0743281,QC 09,IMPOUNDED,P0976308
A0755277,LFD 109,AVAILABLE,P0082811
A0756577,LFSD 16,IMPOUNDED,P1002865
A0757838,LAB 01,LAB,P0954347
A0763458,QD 29,RELEASED FROM QUARANTINE,P0549681
A0769235,ID22B,IMPOUNDED,P9998456
A0769235,LFD 119,IMPOUNDED,P9991753
A0770373,PUPS 1,UNAVAILABLE,P1004438
A0775997,LFD 016,IMPOUNDED,P0865775
A0778310,INJD 008,UNAVAILABLE,P0968172
A0778310,VT 08,UNAVAILABLE,P0968172
A0783805,AD 067,UNAVAILABLE,P0906393
A0783805,AD 067,UNAVAILABLE,P0692383
A0784913,OFFICE,AVAILABLE,P9991770
A0785989,AD 082,UNAVAILABLE,P9991754
A0787695,LFD 079,IMPOUNDED,P1014533
A0792560,146004-01,IMPOUNDED,P1003720
A0794144,INJD 009,LAB,P0780703
A0794596,LFSD 15,UNAVAILABLE,P0987229
A0794663,AD 100,AVAILABLE,P0628149
A0797536,FREEZER,UNAVAILABLE,P0980109
A0797746,VT 01,UNAVAILABLE,P0972673
A0797770,LFD 076,AVAILABLE,P0972824
A0797770,LFD 131,AVAILABLE,P9998461
A0799866,LAB 02,LAB,P0702114
A0800159,AC 017,AVAILABLE,P0837256
A0804397,196007-01,IMPOUNDED,P0940435
A0811546,FREEZER,IMPOUNDED,P0668529
A0813527,PUPS 1,EU RISK,P1015091
A0813739,VT 01,LAB,P9991780
A0814701,LFSD 16,UNAVAILABLE,P0527922
A0814825,DC 14,RELEASED FROM QUARANTINE,P0726230
A0815573,206010-01,IMPOUNDED,P0887691
A0816413,LFD 076,IMPOUNDED,P9998461
A0817136,LAB 04,LAB,P0879881
A0817988,LFSD 01,IMPOUNDED,P0574485
A0818217,LFD 025,IMPOUNDED,P0562950
A0819218,INJD 009,UNAVAILABLE,P0973670
A0819218,INJD 001,UNAVAILABLE,P0973670
A0819218,INJD 010,UNAVAILABLE,P0973670
A0819935,FREEZER,UNAVAILABLE,P9991770
A0822156,146007-01,IMPOUNDED,P9991770
A0824446,096026-01,IMPOUNDED,P9998469
A0824448,096026-01,IMPOUNDED,P0008469
A0826118,146005-01,IMPOUNDED,P9998461
A0831097,206009-01,IMPOUNDED,P9991213
A0832360,AD 100,UNAVAILABLE,P0974484
A0832360,LFSD 18,UNAVAILABLE,P0976874
A0835443,QD 15,RELEASED FROM QUARANTINE,P0668992
A0835444,DC 05,RELEASED FROM QUARANTINE,P0668992
A0838689,146005-01,IMPOUNDED,P9991579
A0839820,VT 01,LAB,P0963320
A0842366,AD 083,UNAVAILABLE,P0932502
A0851063,LFSD 08,UNAVAILABLE,P0954347
A0851522,LFSD 15,AVAILABLE,P0542160
A0853741,LFD 076,AVAILABLE,P0972824
A0853741,LFD 131,AVAILABLE,P9998461
A0857252,VIP19,UNAVAILABLE,P0982037
A0857362,FREEZER,IMPOUNDED,P0682598
A0858959,QD 07,RELEASED FROM QUARANTINE,P1006752
A0858959,QD 27,RELEASED FROM QUARANTINE,P0768059
A0862723,PUPS 3,EU RISK,P0842175
A0863410,LFD 027,UNAVAILABLE,P9991780
A0865228,LFD 031,UNAVAILABLE,P1016057
A0866305,LFD 033,UNAVAILABLE,P9991579
A0866706,LFSD 16,UNAVAILABLE,P0696364
A0869493,ID19A,UNAVAILABLE,P9991213
A0870739,FREEZER,UNAVAILABLE,P0973799
A0871054,VIP13,AVAILABLE,P9991171
A0871790,AD 098,UNAVAILABLE,P1011840
A0871848,LFSD 09,IMPOUNDED,P0993107
A0872213,096026-01,IMPOUNDED,P0975291
A0872224,LAB 03,LAB,P0688984
A0872410,PUPS 1,UNAVAILABLE,P0973705
A0873455,FREEZER,UNAVAILABLE,P0581984
A0874101,LFSD 15,IMPOUNDED,P0980648
A0878046,F2,UNAVAILABLE,P0911924
A0878238,LFD 021,IMPOUNDED,P9991574
A0878645,AD 015,UNAVAILABLE,P0041644
A0879023,LFSD 19,UNAVAILABLE,P0533968
A0879183,AD 087,UNAVAILABLE,P0990956
A0880347,AD 052,IMPOUNDED,P9991780
A0883160,LFD 056,IMPOUNDED,P0646110
A0884451,FREEZER,UNAVAILABLE,P0668162
A0885059,LFD 053,UNAVAILABLE,P0999473
A0887129,146004-01,IMPOUNDED,P0570145
A0887129,LFSD 17,IMPOUNDED,P0542160
A0889068,LFD 156,IMPOUNDED,P1008524
A0889982,QD 17,PRE-LAB,P0700056
A0891968,PCD 23,UNAVAILABLE,P0787736
A0892710,LFD 132,IMPOUNDED,P0996961
A0892710,LFD 117,IMPOUNDED,P0712098
A0892710,LFD 039,IMPOUNDED,P1011403
A0894774,LFSD 10,UNAVAILABLE,P1000460
A0895359,VIP25,UNAVAILABLE,P0751489
A0895880,OFFICE,UNAVAILABLE,P0704354
A0897821,FREEZER,LAB,P0703261
A0897857,186035-01,IMPOUNDED,P0991327
A0897857,096027-01,IMPOUNDED,P9998466
A0898102,LFD 056,UNAVAILABLE,P9991723
A0898506,LFD 053,AVAILABLE,P1006208
A0900210,AD 019,EU RISK,P1005239
A0900210,VIP13,EU RISK,P0996721
A0902060,FREEZER,UNAVAILABLE,P0706903
A0902185,LFSD 14,UNAVAILABLE,P0982037
A0902861,QD 04,RELEASED FROM QUARANTINE,P0705961
A0903245,206010-02,IMPOUNDED,P9998461
A0903371,AD 028,UNAVAILABLE,P9998480
A0903371,LFD 020,IMPOUNDED,P9991770
A0903371,AD 018,UNAVAILABLE,P0542160
A0906083,126004-02,IMPOUNDED,P9998451
A0906544,FREEZER,UNAVAILABLE,P0919323
A0906949,FOSTER,PENDING,P0959736
A0907637,LFD 132,AVAILABLE,P0709664
A0908117,AD 042,UNAVAILABLE,P0982037
A0908495,AD 073,LAB,P0710586
A0909598,LFD 080,IMPOUNDED,P0993083
A0909613,186035-01,IMPOUNDED,P0991318
A0910303,LFD 158,UNAVAILABLE,P1002505
A0911423,QD 22,UNAVAILABLE,P1009770
A0911520,LFSD 17,EU RISK,P0997454
A0911675,PCD 18,RELEASED FROM QUARANTINE,P0995233
A0911735,LFD 028,IMPOUNDED,P0992045
A0911735,LFSD 16,IMPOUNDED,P0891262
A0911809,146004-01,IMPOUNDED,P9998471
A0912466,QD 16,RELEASED FROM QUARANTINE,P0973456
A0915722,FREEZER,UNAVAILABLE,P0998885
A0915966,LFSD 04,IMPOUNDED,P0962954
A0916082,LFD 083,EU RISK,P0806329
A0916337,FREEZER,LAB,P0973836
A0919489,QD 30,UNAVAILABLE,P0716376
A0919664,QD 15,UNAVAILABLE,P0980841
A0920047,INJD 011,UNAVAILABLE,P0968970
A0920047,AD 092,AVAILABLE,P0605723
A0921358,LFD 086,EU RISK,P0604720
A0922028,LFD 089,EU RISK,P0717771
A0922498,PCD 04,RELEASED FROM QUARANTINE,P1004918
A0922929,AD 081,EU RISK,P9991579
A0923894,LFD 009,EU RISK,P0948029
A0923894,186037-03,IMPOUNDED,P9998456
A0923894,LFD 093,EU RISK,P9998461
A0926373,FREEZER,IMPOUNDED,P0095641
A0927113,LFD 013,IMPOUNDED,P9991557
A0927496,096027-01,IMPOUNDED,P9991776
A0927496,126003-01,IMPOUNDED,P9991704
A0927496,AD 013,LAB,P0735235
A0927520,VIP04,AVAILABLE,P0721516
A0927520,186036-01,IMPOUNDED,P9991704
A0927753,AC 013,AVAILABLE,P0692670
A0928373,QD 12,LAB,P0977897
A0929674,186035-01,IMPOUNDED,P9998462
A0930199,VIP01,UNAVAILABLE,P0000000
A0930266,FREEZER,UNAVAILABLE,P1016097
A0930272,AD 012,UNAVAILABLE,P9991754
A0930847,LFD 026,AVAILABLE,P0995858
A0932422,AC 013,UNAVAILABLE,P0837256
A0932911,F3,AVAILABLE,P0883554
A0932911,F4,AVAILABLE,P0883554
A0932911,F4,UNAVAILABLE,P0883554
A0932911,FOSTER,EU RISK,P0883554
A0932911,FOSTER,AVAILABLE,P0667500
A0932911,FOSTER,EU RISK,P0883554
A0932911,VIP12,EU RISK,P0978346
A0932912,AD 075,AVAILABLE,P0978346
A0932912,AD 086,AVAILABLE,P0985028
A0932912,AD 074,LAB,P0889339
A0932982,LFD 074,EU RISK,P0924881
A0933411,QD 23,RELEASED FROM QUARANTINE,P9991213
A0933440,FOSTER,PENDING,P0692383
A0933440,FOSTER,AVAILABLE,P0918167
A0936850,LFD 027,UNAVAILABLE,P0533122
A0938043,FREEZER,UNAVAILABLE,P0733115
A0938810,196007-01,IMPOUNDED,P1000730
A0939604,INJD 009,UNAVAILABLE,P0960358
A0939604,INJD 009,UNAVAILABLE,P0960358
A0941121,PUPS 1,EU RISK,P0857037
A0941186,LAB 02,LAB,P1002546
A0943022,PCD 17,UNAVAILABLE,P0738738
A0943355,LFD 137,UNAVAILABLE,P0984180
A0943355,AD 093,UNAVAILABLE,P0981234
A0943615,QD 29,RELEASED FROM QUARANTINE,P0994147
A0943620,INJD 013,UNAVAILABLE,P0106145
A0945090,INJD 014,UNAVAILABLE,P0674511
A0945632,INJD 009,UNAVAILABLE,P0971398
A0945632,INJD 007,UNAVAILABLE,P0971398
A0945632,INJD 009,UNAVAILABLE,P0971398
A0947684,186036-01,IMPOUNDED,P0976704
A0948595,AD 102,UNAVAILABLE,P9991753
A0948595,LFSD 20,UNAVAILABLE,P0984647
A0948892,LFD 039,UNAVAILABLE,P0685125
A0949069,FREEZER,UNAVAILABLE,P0664844
A0950108,176001-01,IMPOUNDED,P9991776
A0951376,VIP10,UNAVAILABLE,P0983426
A0951376,5A,AVAILABLE,P0685125
A0951958,INJD 007,IMPOUNDED,P0747716
A0952716,LFD 024,UNAVAILABLE,P0972880
A0953210,LFSD 17,UNAVAILABLE,P1020835
A0953923,FREEZER,UNAVAILABLE,P0963320
A0954670,LFD 024,UNAVAILABLE,P0972880
A0955662,LAB 03,LAB,P0784080
A0957113,QD 30,RELEASED FROM QUARANTINE,P0983064
A0958104,INJD 008,UNAVAILABLE,P0963361
A0959863,LFD 029,EU RISK,P0935922
A0959913,DC 23,RELEASED FROM QUARANTINE,P9991195
A0960163,186037-01,IMPOUNDED,P0758191
A0960943,QD 10,RELEASED FROM QUARANTINE,P0757277
A0961716,ID10B,IMPOUNDED,P0962116
A0961923,FREEZER,UNAVAILABLE,P0756522
A0963029,VT 11,IMPOUNDED,P0995141
A0963079,LAB 03,LAB,P0868457
A0963460,FREEZER,UNAVAILABLE,P0669253
A0964366,LFD 045,UNAVAILABLE,P0997558
A0965325,FREEZER,UNAVAILABLE,P0592327
A0965394,INJD 009,UNAVAILABLE,P1009903
A0965394,VIP11,PENDING,P1006837
A0965394,FOSTER,PENDING,P1009903
A0966345,LFD 161,UNAVAILABLE,P9998473
A0966432,AD 003,UNAVAILABLE,P0981529
A0966432,LFD 046,UNAVAILABLE,P0762003
A0967122,ID05B,IMPOUNDED,P0988436
A0968876,VIP17,AVAILABLE,P0692670
A0968876,LAB 15,LAB,P0996358
A0968877,VIP09,EU RISK,P0996731
A0968877,VIP09,UNAVAILABLE,P0692670
A0969277,PSDOG 02,AVAILABLE,P0542160
A0969517,FREEZER,LAB,P0974536
A0969550,LFD 123,AVAILABLE,P1011671
A0969550,LFSD 09,UNAVAILABLE,P0983092
A0970018,206010-01,IMPOUNDED,P9991721
A0970129,QD 09,RELEASED FROM QUARANTINE,P0514702
A0970499,LFD 083,UNAVAILABLE,P0970357
A0970763,VIP16,AVAILABLE,P0746568
A0970794,ID02A,IMPOUNDED,P0999219
A0970836,LFSD 19,AVAILABLE,P0903291
A0971776,QD 09,RELEASED FROM QUARANTINE,P0992420
A0972496,FOSTER,AVAILABLE,P0646092
A0972496,LFD 093,AVAILABLE,P0692383
A0972496,LFD 093,AVAILABLE,P0769116
A0974279,176001-01,IMPOUNDED,P9991776
A0974694,QD 29,RELEASED FROM QUARANTINE,P0983064
A0977563,LFD 003,IMPOUNDED,P0979082
A0978196,QD 26,UNAVAILABLE,P0772338
A0980028,LFD 158,LAB,P0954347
A0980543,VT 12,LAB,P1010527
A0981251,PUPS 3,UNAVAILABLE,P9998455
A0981599,DC 05,IMPOUNDED,P9998457
A0981904,AD 033,PENDING,P0988358
A0981904,FOSTER,PENDING,P0989680
A0981913,MISSING,UNAVAILABLE,P0972179
A0982021,PUPS 4,UNAVAILABLE,P0982021
A0982030,LFC 085,IMPOUNDED,P1015677
A0982658,INJD 012,UNAVAILABLE,P0806978
A0982658,INJD 007,UNAVAILABLE,P0806978
A0982658,LFD 163,UNAVAILABLE,P0775550
A0983017,QD 05,RELEASED FROM QUARANTINE,P0762409
A0983134,INJD 009,UNAVAILABLE,P0969554
A0983545,LFD 134,IMPOUNDED,P0865368
A0983588,VIP10,UNAVAILABLE,P0981671
A0983903,LFC 073,AVAILABLE,P0837256
A0984077,LAB 04,LAB,P9991723
A0985507,PCD 17,LAB,P9998480
A0985661,INJD 005,AVAILABLE,P0620070
A0985819,206007-01,IMPOUNDED,P0780100
A0986041,QD 04,RELEASED FROM QUARANTINE,P0779867
A0986052,INJD 012,IMPOUNDED,P9998451
A0986887,PCD 03,LAB,P9991701
A0986941,VT 12,IMPOUNDED,P0900579
A0987098,INJD 011,LAB,P0933748
A0987607,OFFICE,AVAILABLE,P0791053
A0988044,LFSD 20,UNAVAILABLE,P0896062
A0988439,5A,EU RISK,P0782275
A0988439,PUPS 1,UNAVAILABLE,P0985298
A0989263,LFD 011,LAB,P1008339
A0989672,LFSD 16,UNAVAILABLE,P0783943
A0989784,ID12B,IMPOUNDED,P0989147
A0989917,AD 064,UNAVAILABLE,P0979433
A0989917,QD 21,LAB,P0981269
A0989968,LFC 030,EU RISK,P0960165
A0990220,206007-01,IMPOUNDED,P9991213
A0991818,LFSD 16,AVAILABLE,P9991701
A0991994,LAB 03,LAB,P9998460
A0992721,VIP01,UNAVAILABLE,P0993965
A0992867,VIP19,AVAILABLE,P0995733
A0992867,LFSD 10,IMPOUNDED,P9998467
A0993954,FOSTER,PENDING,P0925919
A0994062,LFD 019,IMPOUNDED,P0787778
A0994133,126005-03,IMPOUNDED,P0998739
A0994137,126005-03,IMPOUNDED,P0998739
A0994846,AD 043,UNAVAILABLE,P0542160
A0995010,PUPS 4,EU RISK,P1001532
A0998289,PUPS 1,UNAVAILABLE,P0782275
A0998347,146004-01,IMPOUNDED,P0853484
A0998966,FREEZER,UNAVAILABLE,P0820008
A0999124,QD 15,UNAVAILABLE,P0634514
A0999124,196007-01,IMPOUNDED,P9991579
A1000140,LAB 03,LAB,P0984921
A1000868,206007-01,UNAVAILABLE,P0988072
A1001177,DC 05,UNAVAILABLE,P0982975
A1001177,INJD 010,UNAVAILABLE,P0982975
A1001177,INJD 008,UNAVAILABLE,P0982975
A1001177,VIP06,AVAILABLE,P0975642
A1001188,PCD 07,RELEASED FROM QUARANTINE,P0794584
A1001892,INJD 007,UNAVAILABLE,P0987636
A1002083,PCD 26,UNAVAILABLE,P0977219
A1002166,VT 10,UNAVAILABLE,P0981506
A1002192,INJD 007,UNAVAILABLE,P0971010
A1002192,INJD 007,UNAVAILABLE,P0971010
A1002192,INJD 011,UNAVAILABLE,P0971010
A1003255,LFSD 05,UNAVAILABLE,P0720800
A1003694,LFD 127,IMPOUNDED,P0601533
A1003752,INJD 011,UNAVAILABLE,P0749462
A1003752,INJD 007,UNAVAILABLE,P0749462
A1003752,INJD 007,UNAVAILABLE,P0970528
A1003974,INJD 011,UNAVAILABLE,P0970402
A1003974,LAB 02,LAB,P0970402
A1004045,FOSTER,UNAVAILABLE,P0871686
A1004045,VIP12,AVAILABLE,P0992949
A1004091,INJD 008,UNAVAILABLE,P0966084
A1004091,INJD 012,UNAVAILABLE,P0966084
A1004272,LFD 008,EU RISK,P0988551
A1004381,INJD 011,UNAVAILABLE,P0973685
A1004381,INJD 011,UNAVAILABLE,P0973685
A1004598,VIP28,AVAILABLE,P0969347
A1004638,186036-01,IMPOUNDED,P9991710
A1004833,PUPS 1,AVAILABLE,P0530710
A1004833,FOSTER,PENDING,P1011723
A1005038,NMOMS 1,AVAILABLE,P1012107
A1005263,PUPS 2,LAB,P0799878
A1005320,SMD05,UNAVAILABLE,P0875537
A1005324,LFD 053,IMPOUNDED,P0875537
A1005336,QD 24,RELEASED FROM QUARANTINE,P0687021
A1005666,VIP12,AVAILABLE,P0800548
A1006379,RELOCATE,UNAVAILABLE,P9991213
A1006379,ID13A,LAB,P0922608
A1006379,VIP01,EU RISK,P0979159
A1006506,LFD 018,UNAVAILABLE,P9998456
A1006791,AC 003,AVAILABLE,P0992027
A1006863,AD 091,AVAILABLE,P0777028
A1007580,LFD 165,UNAVAILABLE,P1000122
A1007977,AC 003,UNAVAILABLE,P0972070
A1008294,LFD 031,LAB,P0991737
A1008442,LAB 03,LAB,P0998348
A1008756,LAB 03,LAB,P0542160
A1008842,PCD 24,UNAVAILABLE,P0873591
A1009189,LFC 009,IMPOUNDED,P0917699
A1009934,QD 19,LAB,P0808148
A1010062,PCD 08,IMPOUNDED,P0994991
A1010137,LFD 038,IMPOUNDED,P0994991
A1010432,QD 10,RELEASED FROM QUARANTINE,P0991208
A1011031,QD 15,RELEASED FROM QUARANTINE,P0807801
A1011595,VIP13,UNAVAILABLE,P0917454
A1011964,INJD 014,UNAVAILABLE,P0985154
A1011968,INJD 015,UNAVAILABLE,P0985154
A1011968,LFD 055,IMPOUNDED,P9998467
A1012195,VIP12,AVAILABLE,P0928425
A1012195,INJD 008,AVAILABLE,P0562950
A1012195,FOSTER,UNAVAILABLE,P0878382
A1012270,096027-01,IMPOUNDED,P0808945
A1012469,VIP18,EU RISK,P0542160
A1012928,096026-01,IMPOUNDED,P0980972
A1013033,186033-01,IMPOUNDED,P9991780
A1013155,INJD 011,UNAVAILABLE,P0994082
A1013155,VIP24,AVAILABLE,P0981387
A1013155,INJD 012,PENDING,P0994082
A1013155,FOSTER,PENDING,P0994082
A1013243,QD 05,RELEASED FROM QUARANTINE,P1003432
A1013516,FREEZER,UNAVAILABLE,P0810518
A1013764,AD 035,AVAILABLE,P0734764
A1014092,INJD 013,IMPOUNDED,P0912721
A1014800,LFD 102,UNAVAILABLE,P0812699
A1014920,INJD 008,IMPOUNDED,P0963914
A1015027,ID05A,IMPOUNDED,P0988347
A1015088,ID01B,IMPOUNDED,P9991780
A1015088,PCD 10,LAB,P0910045
A1015436,QD 08,LAB,P1011758
A1016781,PCD 01,UNAVAILABLE,P0024493
A1016850,206006-01,IMPOUNDED,P9991549
A1017801,LAB 04,LAB,P0977283
A1017914,INJD 007,UNAVAILABLE,P0961120
A1017914,LAB 02,LAB,P0961120
A1018431,LFD 095,UNAVAILABLE,P9998480
A1018567,VIP01,UNAVAILABLE,P0844540
A1018801,196007-01,IMPOUNDED,P9991723
A1019067,FOSTER,UNAVAILABLE,P0815614
A1019067,AD 002,AVAILABLE,P9991754
A1019298,146007-01,IMPOUNDED,P0765475
A1019299,146007-01,IMPOUNDED,P0765475
A1019299,QD 20,LAB,P0972627
A1019393,INJD 008,UNAVAILABLE,P9998455
A1019573,LFD 047,LAB,P0599227
A1020110,AD 033,AVAILABLE,P0823478
A1020176,LFD 166,UNAVAILABLE,P1001303
A1020220,PCD 22,UNAVAILABLE,P0820554
A1020276,096023-01,IMPOUNDED,P9991776
A1020344,AD 007,EU RISK,P0821970
A1020356,QD 26,RELEASED FROM QUARANTINE,P0994150
A1020422,INJD 010,UNAVAILABLE,P0963127
A1020748,176002-01,IMPOUNDED,P9991754
A1020748,AD 021,UNAVAILABLE,P0832622
A1020748,VIP13,AVAILABLE,P0996859
A1021199,LFD 099,AVAILABLE,P0953030
A1021474,INJD 010,UNAVAILABLE,P0970522
A1021474,INJD 007,IMPOUNDED,P0970522
A1021475,INJD 010,IMPOUNDED,P0822449
A1021501,126003-01,IMPOUNDED,P9991704
A1021501,ID19A,UNAVAILABLE,P9998455
A1021501,PSDOG 16,UNAVAILABLE,P1002805
A1022166,PCD 14,UNAVAILABLE,P0636329
A1022526,PCD 08,LAB,P0824343
A1022739,INJD 010,UNAVAILABLE,P0999301
A1022739,INJD 011,UNAVAILABLE,P0999301
A1022739,INJD 008,UNAVAILABLE,P9991579
A1022739,DC 06,UNAVAILABLE,P0646635
A1022799,LAB 03,LAB,P0776702
A1023434,LFD 083,UNAVAILABLE,P0977930
A1023434,AD 101,UNAVAILABLE,P0978040
A1023641,206006-01,IMPOUNDED,P9991549
A1023798,AD 054,PENDING,P1009148
A1023983,ID13A,IMPOUNDED,P0977761
A1023986,AD 039,UNAVAILABLE,P0562950
A1024627,LFD 032,IMPOUNDED,P0900507
A1025176,LFD 099,AVAILABLE,P9991213
A1025250,FREEZER,UNAVAILABLE,P0772839
A1025530,INJD 007,UNAVAILABLE,P0978687
A1025530,INJD 008,UNAVAILABLE,P0978687
A1025530,VIP05,UNAVAILABLE,P0977018
A1025530,INJD 009,UNAVAILABLE,P0978687
A1025713,NMOMS 4,UNAVAILABLE,P1005394
A1025935,LFD 034,LAB,P0989713
A1026530,LFD 054,IMPOUNDED,P0980363
A1026648,LFD 073,UNAVAILABLE,P1002916
A1026659,QD 22,RELEASED FROM QUARANTINE,P0838348
A1027921,QD 15,RELEASED FROM QUARANTINE,P0102396
A1028146,PCD 21,LAB,P0977938
A1028186,196007-01,IMPOUNDED,P0940435
A1028719,LFD 003,IMPOUNDED,P0542160
A1029139,LFSD 12,AVAILABLE,P9998461
A1029139,VIP28,EU RISK,P1012110
A1029294,LFD 023,IMPOUNDED,P9991704
A1029394,LFD 031,LAB,P0982154
A1029450,QD 27,LAB,P0835380
A1029798,LFD 083,UNAVAILABLE,P0978946
A1029798,AD 100,UNAVAILABLE,P0978796
A1029798,LFSD 15,EU RISK,P1020835
A1029911,VIP06,AVAILABLE,P1010633
A1029972,LAB 14,LAB,P9998485
A1030124,AD 001,EU RISK,P0604720
A1030158,186032-01,IMPOUNDED,P9991749
A1030749,LFD 064,EU RISK,P1007020
A1030935,INJD 007,UNAVAILABLE,P0965035
A1030935,INJD 016,UNAVAILABLE,P0965035
A1030986,LFD 008,LAB,P1001489
A1031072,LAB 03,LAB,P1011863
A1031714,PETCO,AVAILABLE,P0916147
A1031714,VIP20,AVAILABLE,P0916147
A1031714,INJD 008,EU RISK,P9991765
A1031743,FOSTER,PENDING,P0967826
A1031743,5A,AVAILABLE,P0977930
A1031744,NMOMS 3,UNAVAILABLE,P0977930
A1031744,FOSTER,UNAVAILABLE,P0906393
A1031744,QD 09,LAB,P0975441
A1031744,FOSTER,UNAVAILABLE,P0975441
A1031833,LFD 017,UNAVAILABLE,P0977930
A1031924,AD 016,AVAILABLE,P9991780
A1031994,AD 002,EU RISK,P9991754
A1032087,AD 084,UNAVAILABLE,P0735180
A1032143,FREEZER,LAB,P1013531
A1032248,176001-01,IMPOUNDED,P0973562
A1032513,VIP28,AVAILABLE,P0983860
A1032519,176001-01,IMPOUNDED,P9991776
A1032542,LFD 149,EU RISK,P0948048
A1032647,PCD 19,LAB,P0699963
A1032847,DC 25,UNAVAILABLE,P0983864
A1032907,PCD 13,LAB,P0636623
A1032907,096023-01,IMPOUNDED,P9991776
A1033238,206009-01,IMPOUNDED,P9991765
A1033666,LFD 088,LAB,P0932586
A1033667,LAB 16,LAB,P0932586
A1034276,PCD 22,UNAVAILABLE,P9998471
A1034893,ID19A,EU RISK,P9991753
A1035361,LFD 110,UNAVAILABLE,P0746568
A1035652,LFSD 09,LAB,P0896475
A1035872,146003-01,IMPOUNDED,P0981926
A1036055,176001-01,IMPOUNDED,P0996784
A1037309,LFD 033,IMPOUNDED,P9991744
A1037805,LFD 139,UNAVAILABLE,P0767334
A1038016,146005-01,IMPOUNDED,P0978034
A1038194,LFD 020,UNAVAILABLE,P0844844
A1038196,INJD 007,UNAVAILABLE,P1003805
A1038289,PSDOG 04,AVAILABLE,P0687214
A1038632,INJD 008,UNAVAILABLE,P0979539
A1038632,INJD 007,UNAVAILABLE,P0979539
A1038632,VIP22,UNAVAILABLE,P9991548
A1038917,VT 09,IMPOUNDED,P0984059
A1039072,AD 055,UNAVAILABLE,P0846811
A1039147,186035-01,IMPOUNDED,P0969543
A1039314,ID22B,IMPOUNDED,P9991770
A1039822,5A,AVAILABLE,P9998478
A1039822,FOSTER,UNAVAILABLE,P1008109
A1040000,LAB 16,LAB,P1014373
A1040568,LFD 029,UNAVAILABLE,P0542160
A1040571,AD 084,AVAILABLE,P9991701
A1040757,QD 07,RELEASED FROM QUARANTINE,P0768631
A1040798,FOSTER,UNAVAILABLE,P0975297
A1040798,AD 041,AVAILABLE,P0848692
A1040798,INJD 010,UNAVAILABLE,P0959248
A1040798,INJD 010,UNAVAILABLE,P0959248
A1040798,INJD 009,UNAVAILABLE,P0959248
A1040831,F4,UNAVAILABLE,P0983001
A1040831,VIP09,UNAVAILABLE,P0848100
A1040950,AD 004,EU RISK,P0997861
A1041055,LFD 083,AVAILABLE,P0848766
A1041395,AD 101,UNAVAILABLE,P9998455
A1042219,LFSD 17,AVAILABLE,P0656563
A1042308,LFD 013,IMPOUNDED,P9991557
A1042536,186035-01,IMPOUNDED,P9991754
A1042914,VIP03,UNAVAILABLE,P0985322
A1042914,VIP02,AVAILABLE,P0084450
A1043028,LFD 149,UNAVAILABLE,P0542160
A1043028,VT 12,UNAVAILABLE,P0664844
